Fecha;Demanda (MW)
2007-01-01 00;21768.5
2007-01-01 01;20754.16
2007-01-01 02;20182.16
2007-01-01 03;19211.33
2007-01-01 04;18722.33
2007-01-01 05;18633.33
2007-01-01 06;20092.83
2007-01-01 07;21403.33
2007-01-01 08;22428.5
2007-01-01 09;23317.5
2007-01-01 10;23598.33
2007-01-01 11;22567.5
2007-01-01 12;22309.33
2007-01-01 13;23120.33
2007-01-01 14;26514.5
2007-01-01 15;28441.66
2007-01-01 16;29684.83
2007-01-01 17;30594.66
2007-01-01 18;29817.5
2007-01-01 19;29936.16
2007-01-01 20;27468.5
2007-01-01 21;24954.0
2007-01-01 22;23342.33
2007-01-01 23;28215.66
2007-01-02 00;27468.5
2007-01-02 01;24954.0
2007-01-02 02;23342.33
2007-01-02 03;22430.83
2007-01-02 04;21945.5
2007-01-02 05;22151.16
2007-01-02 06;24578.5
2007-01-02 07;27756.33
2007-01-02 08;31221.33
2007-01-02 09;33545.33
2007-01-02 10;35558.66
2007-01-02 11;36016.66
2007-01-02 12;35890.33
2007-01-02 13;35088.16
2007-01-02 14;33430.0
2007-01-02 15;32799.5
2007-01-02 16;32926.16
2007-01-02 17;33839.33
2007-01-02 18;36931.16
2007-01-02 19;37364.83
2007-01-02 20;36897.5
2007-01-02 21;36661.66
2007-01-02 22;34667.83
2007-01-02 23;34349.5
2007-01-03 00;31565.16
2007-01-03 01;28716.83
2007-01-03 02;26918.16
2007-01-03 03;25690.5
2007-01-03 04;24931.16
2007-01-03 05;24924.16
2007-01-03 06;26480.16
2007-01-03 07;29176.33
2007-01-03 08;32745.16
2007-01-03 09;34878.83
2007-01-03 10;36647.5
2007-01-03 11;36923.33
2007-01-03 12;36524.0
2007-01-03 13;35689.5
2007-01-03 14;34108.33
2007-01-03 15;33584.66
2007-01-03 16;33371.66
2007-01-03 17;34223.83
2007-01-03 18;37636.33
2007-01-03 19;38325.16
2007-01-03 20;37810.33
2007-01-03 21;37274.16
2007-01-03 22;35269.66
