Latitude (decimal degrees):	41.375
Longitude (decimal degrees):	2.095
Elevation (m):	80
Radiation database:	PVGIS-SARAH


Slope: 55 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20070101:0010,0.0,0.0,0.0,6.3,5.77,0.0
20070101:0110,0.0,0.0,0.0,5.57,5.77,0.0
20070101:0210,0.0,0.0,0.0,4.84,5.77,0.0
20070101:0310,0.0,0.0,0.0,4.1,5.77,0.0
20070101:0410,0.0,0.0,0.0,3.85,5.79,0.0
20070101:0510,0.0,0.0,0.0,3.59,5.81,0.0
20070101:0610,0.0,0.0,0.0,3.33,5.83,0.0
20070101:0710,0.0,0.0,0.0,4.85,5.73,0.0
20070101:0810,41.7,62.47,7.24,6.37,5.62,0.0
20070101:0910,213.88,253.81,15.16,7.88,5.52,0.0
20070101:1010,335.08,391.78,21.19,9.68,5.51,0.0
20070101:1110,221.19,267.91,24.79,11.48,5.5,0.0
20070101:1210,521.88,618.86,25.52,13.28,5.49,0.0
20070101:1310,334.62,399.86,23.29,13.97,5.14,0.0
20070101:1410,442.13,526.94,18.39,14.67,4.8,0.0
20070101:1510,362.21,432.75,11.33,15.37,4.46,0.0
20070101:1610,152.59,188.91,2.66,13.8,4.45,0.0
20070101:1710,0.0,0.0,0.0,12.23,4.44,0.0
20070101:1810,0.0,0.0,0.0,10.66,4.43,0.0
20070101:1910,0.0,0.0,0.0,10.4,4.63,0.0
20070101:2010,0.0,0.0,0.0,10.14,4.83,0.0
20070101:2110,0.0,0.0,0.0,9.88,5.03,0.0
20070101:2210,0.0,0.0,0.0,9.62,5.48,0.0
20070101:2310,0.0,0.0,0.0,9.37,5.92,0.0
20070102:0010,0.0,0.0,0.0,9.11,6.36,0.0
20070102:0110,0.0,0.0,0.0,8.67,6.52,0.0
20070102:0210,0.0,0.0,0.0,8.23,6.69,0.0
20070102:0310,0.0,0.0,0.0,7.78,6.86,0.0
20070102:0410,0.0,0.0,0.0,7.07,6.14,0.0
20070102:0510,0.0,0.0,0.0,6.35,5.43,0.0
20070102:0610,0.0,0.0,0.0,5.63,4.72,0.0
20070102:0710,0.0,0.0,0.0,6.61,3.54,0.0
20070102:0810,183.94,220.77,7.24,7.6,2.36,0.0
20070102:0910,655.75,798.85,15.18,8.58,1.19,0.0
20070102:1010,741.69,906.75,21.23,9.72,2.3,0.0
20070102:1110,799.14,976.72,24.85,10.86,3.41,0.0
20070102:1210,798.26,969.27,25.61,12.0,4.52,0.0
20070102:1310,721.24,873.46,23.4,12.46,4.06,0.0
20070102:1410,663.76,802.81,18.51,12.93,3.59,0.0
20070102:1510,396.79,472.47,11.46,13.39,3.12,0.0
20070102:1610,62.87,87.57,2.79,12.03,3.22,0.0
20070102:1710,0.0,0.0,0.0,10.67,3.32,0.0
20070102:1810,0.0,0.0,0.0,9.31,3.42,0.0
20070102:1910,0.0,0.0,0.0,8.2,3.1,0.0
20070102:2010,0.0,0.0,0.0,7.09,2.78,0.0
20070102:2110,0.0,0.0,0.0,5.98,2.46,0.0
20070102:2210,0.0,0.0,0.0,5.42,2.65,0.0
20070102:2310,0.0,0.0,0.0,4.85,2.85,0.0
20070103:0010,0.0,0.0,0.0,4.29,3.05,0.0
20070103:0110,0.0,0.0,0.0,4.23,3.31,0.0
20070103:0210,0.0,0.0,0.0,4.18,3.56,0.0
20070103:0310,0.0,0.0,0.0,4.12,3.82,0.0
20070103:0410,0.0,0.0,0.0,3.91,3.73,0.0
20070103:0510,0.0,0.0,0.0,3.7,3.65,0.0
20070103:0610,0.0,0.0,0.0,3.49,3.56,0.0
20070103:0710,0.0,0.0,0.0,4.77,3.45,0.0
20070103:0810,444.28,509.34,7.25,6.06,3.35,0.0
20070103:0910,685.23,809.22,15.21,7.34,3.24,0.0
20070103:1010,760.41,916.96,21.29,8.75,3.09,0.0
20070103:1110,785.12,960.25,24.93,10.16,2.95,0.0
20070103:1210,797.38,986.87,25.71,11.58,2.8,0.0
20070103:1310,759.65,939.55,23.52,12.18,2.63,0.0
20070103:1410,710.56,875.81,18.64,12.78,2.46,0.0
20070103:1510,571.19,692.63,11.59,13.38,2.29,0.0
20070103:1610,44.24,65.99,2.93,11.9,2.84,0.0
20070103:1710,0.0,0.0,0.0,10.42,3.38,0.0
20070103:1810,0.0,0.0,0.0,8.95,3.93,0.0
20070103:1910,0.0,0.0,0.0,8.03,4.17,0.0
20070103:2010,0.0,0.0,0.0,7.12,4.41,0.0
20070103:2110,0.0,0.0,0.0,6.2,4.65,0.0
20070103:2210,0.0,0.0,0.0,5.89,4.82,0.0
20070103:2310,0.0,0.0,0.0,5.57,4.99,0.0
20070104:0010,0.0,0.0,0.0,5.26,5.16,0.0
20070104:0110,0.0,0.0,0.0,4.75,5.1,0.0
20070104:0210,0.0,0.0,0.0,4.24,5.04,0.0
20070104:0310,0.0,0.0,0.0,3.72,4.98,0.0
20070104:0410,0.0,0.0,0.0,3.56,4.79,0.0
20070104:0510,0.0,0.0,0.0,3.39,4.6,0.0
20070104:0610,0.0,0.0,0.0,3.23,4.41,0.0
20070104:0710,0.0,0.0,0.0,4.61,4.07,0.0
20070104:0810,43.22,64.24,7.27,5.99,3.73,0.0
20070104:0910,187.11,225.12,15.24,7.36,3.39,0.0
20070104:1010,108.84,141.76,21.34,9.76,3.26,0.0
