Latitude (decimal degrees):	43.345
Longitude (decimal degrees):	-8.425
Elevation (m):	47
Radiation database:	PVGIS-SARAH


Slope: 52 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20070101:0010,0.0,0.0,0.0,11.18,7.2,0.0
20070101:0110,0.0,0.0,0.0,11.12,7.2,0.0
20070101:0210,0.0,0.0,0.0,11.06,7.2,0.0
20070101:0310,0.0,0.0,0.0,11.0,7.2,0.0
20070101:0410,0.0,0.0,0.0,10.86,6.65,0.0
20070101:0510,0.0,0.0,0.0,10.72,6.11,0.0
20070101:0610,0.0,0.0,0.0,10.58,5.56,0.0
20070101:0710,0.0,0.0,0.0,10.69,5.25,0.0
20070101:0810,0.0,0.0,0.0,10.79,4.94,0.0
20070101:0910,22.72,40.73,8.45,10.9,4.63,0.0
20070101:1010,603.64,714.94,15.58,11.91,4.7,0.0
20070101:1110,705.44,848.74,20.72,12.93,4.76,0.0
20070101:1210,742.13,901.28,23.36,13.94,4.83,0.0
20070101:1310,734.51,889.79,23.2,14.08,5.11,0.0
20070101:1410,688.53,828.34,20.26,14.22,5.4,0.0
20070101:1510,101.41,134.74,14.88,14.36,5.68,0.0
20070101:1610,21.39,39.11,7.55,13.49,4.75,0.0
20070101:1710,0.0,0.0,0.0,12.61,3.82,0.0
20070101:1810,0.0,0.0,0.0,11.74,2.88,0.0
20070101:1910,0.0,0.0,0.0,11.18,2.93,0.0
20070101:2010,0.0,0.0,0.0,10.62,2.97,0.0
20070101:2110,0.0,0.0,0.0,10.06,3.02,0.0
20070101:2210,0.0,0.0,0.0,9.82,2.65,0.0
20070101:2310,0.0,0.0,0.0,9.58,2.29,0.0
20070102:0010,0.0,0.0,0.0,9.34,1.92,0.0
20070102:0110,0.0,0.0,0.0,9.18,1.83,0.0
20070102:0210,0.0,0.0,0.0,9.03,1.73,0.0
20070102:0310,0.0,0.0,0.0,8.87,1.64,0.0
20070102:0410,0.0,0.0,0.0,8.67,1.56,0.0
20070102:0510,0.0,0.0,0.0,8.48,1.49,0.0
20070102:0610,0.0,0.0,0.0,8.28,1.41,0.0
20070102:0710,0.0,0.0,0.0,8.26,1.54,0.0
20070102:0810,0.0,0.0,0.0,8.23,1.68,0.0
20070102:0910,20.68,37.71,8.46,8.21,1.82,0.0
20070102:1010,595.27,715.7,15.61,9.27,1.69,0.0
20070102:1110,676.81,831.41,20.77,10.32,1.56,0.0
20070102:1210,715.69,893.11,23.44,11.38,1.43,0.0
20070102:1310,705.89,881.8,23.3,11.56,1.34,0.0
20070102:1410,691.19,862.73,20.38,11.75,1.24,0.0
20070102:1510,580.09,711.13,15.0,11.93,1.14,0.0
20070102:1610,365.16,434.26,7.68,11.36,1.64,0.0
20070102:1710,0.0,0.0,0.0,10.78,2.14,0.0
20070102:1810,0.0,0.0,0.0,10.21,2.63,0.0
20070102:1910,0.0,0.0,0.0,9.8,2.76,0.0
20070102:2010,0.0,0.0,0.0,9.39,2.88,0.0
20070102:2110,0.0,0.0,0.0,8.98,3.01,0.0
20070102:2210,0.0,0.0,0.0,8.64,2.72,0.0
20070102:2310,0.0,0.0,0.0,8.29,2.43,0.0
20070103:0010,0.0,0.0,0.0,7.95,2.14,0.0
20070103:0110,0.0,0.0,0.0,8.03,2.13,0.0
20070103:0210,0.0,0.0,0.0,8.12,2.13,0.0
20070103:0310,0.0,0.0,0.0,8.2,2.12,0.0
20070103:0410,0.0,0.0,0.0,8.3,2.23,0.0
20070103:0510,0.0,0.0,0.0,8.39,2.34,0.0
20070103:0610,0.0,0.0,0.0,8.49,2.44,0.0
20070103:0710,0.0,0.0,0.0,8.74,2.49,0.0
20070103:0810,0.0,0.0,0.0,8.99,2.54,0.0
20070103:0910,27.02,46.01,8.47,9.24,2.59,0.0
20070103:1010,501.45,591.19,15.65,10.53,3.4,0.0
20070103:1110,538.11,637.66,20.83,11.82,4.2,0.0
20070103:1210,615.39,734.58,23.52,13.11,5.01,0.0
20070103:1310,511.21,606.86,23.41,13.19,4.98,0.0
20070103:1410,211.93,259.13,20.5,13.28,4.96,0.0
20070103:1510,249.92,300.81,15.13,13.36,4.94,0.0
20070103:1610,341.37,402.42,7.82,12.66,4.62,0.0
20070103:1710,0.0,0.0,0.0,11.97,4.3,0.0
20070103:1810,0.0,0.0,0.0,11.27,3.99,0.0
20070103:1910,0.0,0.0,0.0,10.97,3.93,0.0
20070103:2010,0.0,0.0,0.0,10.66,3.88,0.0
20070103:2110,0.0,0.0,0.0,10.36,3.82,0.0
20070103:2210,0.0,0.0,0.0,10.37,3.87,0.0
20070103:2310,0.0,0.0,0.0,10.38,3.91,0.0
20070104:0010,0.0,0.0,0.0,10.39,3.96,0.0
20070104:0110,0.0,0.0,0.0,10.43,4.14,0.0
20070104:0210,0.0,0.0,0.0,10.48,4.32,0.0
20070104:0310,0.0,0.0,0.0,10.52,4.5,0.0
20070104:0410,0.0,0.0,0.0,10.39,4.43,0.0
20070104:0510,0.0,0.0,0.0,10.27,4.36,0.0
20070104:0610,0.0,0.0,0.0,10.14,4.29,0.0
20070104:0710,0.0,0.0,0.0,10.26,4.0,0.0
20070104:0810,0.0,0.0,0.0,10.37,3.7,0.0
20070104:0910,25.09,43.74,8.5,10.49,3.41,0.0
20070104:1010,178.78,219.96,15.69,11.52,3.69,0.0
20070104:1110,84.7,115.78,20.9,12.54,3.98,0.0
20070104:1210,239.05,291.14,23.61,13.57,4.26,0.0
20070104:1310,147.37,187.8,23.52,13.63,4.24,0.0
20070104:1410,287.43,345.8,20.62,13.68,4.23,0.0
20070104:1510,505.73,602.37,15.27,13.74,4.21,0.0
20070104:1610,392.45,464.75,7.96,13.04,3.54,0.0
20070104:1710,0.0,0.0,0.0,12.34,2.86,0.0
20070104:1810,0.0,0.0,0.0,11.64,2.19,0.0
20070104:1910,0.0,0.0,0.0,11.25,2.21,0.0
20070104:2010,0.0,0.0,0.0,10.86,2.23,0.0
20070104:2110,0.0,0.0,0.0,10.47,2.25,0.0
20070104:2210,0.0,0.0,0.0,10.4,2.3,0.0
20070104:2310,0.0,0.0,0.0,10.34,2.36,0.0
20070105:0010,0.0,0.0,0.0,10.27,2.41,0.0
20070105:0110,0.0,0.0,0.0,10.39,2.51,0.0
20070105:0210,0.0,0.0,0.0,10.5,2.62,0.0
20070105:0310,0.0,0.0,0.0,10.62,2.72,0.0
20070105:0410,0.0,0.0,0.0,10.54,2.71,0.0
20070105:0510,0.0,0.0,0.0,10.47,2.7,0.0
20070105:0610,0.0,0.0,0.0,10.39,2.69,0.0
20070105:0710,0.0,0.0,0.0,10.36,2.78,0.0
20070105:0810,0.0,0.0,0.0,10.32,2.87,0.0
20070105:0910,21.62,39.22,8.53,10.29,2.97,0.0
20070105:1010,459.92,542.55,15.75,11.25,3.57,0.0
20070105:1110,588.71,701.6,20.97,12.22,4.18,0.0
20070105:1210,346.49,412.79,23.71,13.18,4.79,0.0
20070105:1310,563.52,671.66,23.64,13.47,4.97,0.0
20070105:1410,681.36,818.78,20.76,13.75,5.15,0.0
20070105:1510,448.3,530.79,15.41,14.04,5.34,0.0
20070105:1610,367.71,433.48,8.1,13.17,4.85,0.0
20070105:1710,0.0,0.0,0.0,12.31,4.35,0.0
20070105:1810,0.0,0.0,0.0,11.44,3.86,0.0
20070105:1910,0.0,0.0,0.0,10.98,3.9,0.0
20070105:2010,0.0,0.0,0.0,10.53,3.94,0.0
20070105:2110,0.0,0.0,0.0,10.07,3.99,0.0
20070105:2210,0.0,0.0,0.0,9.95,4.14,0.0
20070105:2310,0.0,0.0,0.0,9.83,4.29,0.0
20070106:0010,0.0,0.0,0.0,9.71,4.44,0.0
20070106:0110,0.0,0.0,0.0,9.79,4.74,0.0
20070106:0210,0.0,0.0,0.0,9.86,5.03,0.0
20070106:0310,0.0,0.0,0.0,9.94,5.32,0.0
20070106:0410,0.0,0.0,0.0,9.84,5.44,0.0
20070106:0510,0.0,0.0,0.0,9.75,5.55,0.0
20070106:0610,0.0,0.0,0.0,9.65,5.67,0.0
20070106:0710,0.0,0.0,0.0,9.79,5.76,0.0
20070106:0810,0.0,0.0,0.0,9.94,5.85,0.0
20070106:0910,25.17,43.74,8.57,10.08,5.94,0.0
20070106:1010,474.31,551.78,15.8,11.19,6.48,0.0
20070106:1110,452.6,529.68,21.06,12.31,7.01,0.0
20070106:1210,29.61,49.97,23.82,13.42,7.54,0.0
20070106:1310,50.88,76.23,23.76,13.54,7.49,0.0
20070106:1410,23.01,41.5,20.9,13.67,7.43,0.0
20070106:1510,36.96,59.29,15.56,13.79,7.37,0.0
20070106:1610,11.32,25.41,8.26,13.03,6.46,0.0
20070106:1710,0.0,0.0,0.0,12.26,5.54,0.0
20070106:1810,0.0,0.0,0.0,11.5,4.63,0.0
20070106:1910,0.0,0.0,0.0,11.01,4.38,0.0
20070106:2010,0.0,0.0,0.0,10.51,4.13,0.0
20070106:2110,0.0,0.0,0.0,10.02,3.88,0.0
20070106:2210,0.0,0.0,0.0,9.81,3.79,0.0
20070106:2310,0.0,0.0,0.0,9.61,3.71,0.0
20070107:0010,0.0,0.0,0.0,9.4,3.63,0.0
20070107:0110,0.0,0.0,0.0,9.47,3.8,0.0
20070107:0210,0.0,0.0,0.0,9.53,3.98,0.0
20070107:0310,0.0,0.0,0.0,9.6,4.15,0.0
20070107:0410,0.0,0.0,0.0,9.46,4.06,0.0
20070107:0510,0.0,0.0,0.0,9.31,3.97,0.0
20070107:0610,0.0,0.0,0.0,9.17,3.88,0.0
20070107:0710,0.0,0.0,0.0,9.25,4.12,0.0
20070107:0810,0.0,0.0,0.0,9.34,4.36,0.0
20070107:0910,20.01,36.96,8.61,9.42,4.61,0.0
20070107:1010,87.08,116.74,15.87,10.4,5.54,0.0
20070107:1110,239.46,286.95,21.15,11.37,6.46,0.0
20070107:1210,161.97,202.34,23.93,12.35,7.39,0.0
20070107:1310,308.19,365.02,23.9,12.39,7.57,0.0
20070107:1410,91.6,123.26,21.04,12.44,7.75,0.0
20070107:1510,61.94,88.78,15.71,12.48,7.93,0.0
20070107:1610,9.09,22.02,8.41,11.98,7.89,0.0
20070107:1710,0.0,0.0,0.0,11.48,7.85,0.0
20070107:1810,0.0,0.0,0.0,10.98,7.81,0.0
20070107:1910,0.0,0.0,0.0,10.88,7.89,0.0
20070107:2010,0.0,0.0,0.0,10.77,7.98,0.0
20070107:2110,0.0,0.0,0.0,10.67,8.07,0.0
20070107:2210,0.0,0.0,0.0,10.58,8.04,0.0
20070107:2310,0.0,0.0,0.0,10.5,8.0,0.0
20070108:0010,0.0,0.0,0.0,10.41,7.97,0.0
20070108:0110,0.0,0.0,0.0,10.51,8.03,0.0
20070108:0210,0.0,0.0,0.0,10.61,8.08,0.0
20070108:0310,0.0,0.0,0.0,10.71,8.14,0.0
