Latitude (decimal degrees):	40.413
Longitude (decimal degrees):	-3.703
Elevation (m):	666
Radiation database:	PVGIS-SARAH


Slope: 55 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20070101:0010,0.0,0.0,0.0,4.78,0.62,0.0
20070101:0110,0.0,0.0,0.0,3.29,0.62,0.0
20070101:0210,0.0,0.0,0.0,1.81,0.62,0.0
20070101:0310,0.0,0.0,0.0,0.32,0.62,0.0
20070101:0410,0.0,0.0,0.0,0.26,0.75,0.0
20070101:0510,0.0,0.0,0.0,0.2,0.89,0.0
20070101:0610,0.0,0.0,0.0,0.14,1.02,0.0
20070101:0710,0.0,0.0,0.0,0.4,0.95,0.0
20070101:0810,3.42,12.41,4.34,0.67,0.88,0.0
20070101:0910,9.89,22.35,12.98,0.93,0.81,0.0
20070101:1010,24.19,41.38,19.93,2.71,0.97,0.0
20070101:1110,34.02,53.8,24.63,4.49,1.14,0.0
20070101:1210,47.5,70.35,26.55,6.28,1.3,0.0
20070101:1310,110.01,142.54,25.43,7.61,1.8,0.0
20070101:1410,334.99,395.62,21.43,8.94,2.3,0.0
20070101:1510,600.34,716.1,15.02,10.27,2.8,0.0
20070101:1610,171.73,208.11,6.77,8.77,2.6,0.0
20070101:1710,0.0,0.0,0.0,7.28,2.4,0.0
20070101:1810,0.0,0.0,0.0,5.78,2.21,0.0
20070101:1910,0.0,0.0,0.0,5.29,2.08,0.0
20070101:2010,0.0,0.0,0.0,4.81,1.95,0.0
20070101:2110,0.0,0.0,0.0,4.32,1.82,0.0
20070101:2210,0.0,0.0,0.0,3.6,1.95,0.0
20070101:2310,0.0,0.0,0.0,2.88,2.09,0.0
20070102:0010,0.0,0.0,0.0,2.16,2.22,0.0
20070102:0110,0.0,0.0,0.0,2.15,2.27,0.0
20070102:0210,0.0,0.0,0.0,2.15,2.32,0.0
20070102:0310,0.0,0.0,0.0,2.14,2.37,0.0
20070102:0410,0.0,0.0,0.0,1.8,2.57,0.0
20070102:0510,0.0,0.0,0.0,1.46,2.77,0.0
20070102:0610,0.0,0.0,0.0,1.13,2.97,0.0
20070102:0710,0.0,0.0,0.0,1.54,2.91,0.0
20070102:0810,273.25,309.98,4.33,1.95,2.85,0.0
20070102:0910,617.5,708.69,12.99,2.36,2.79,0.0
20070102:1010,500.82,578.0,19.97,4.11,2.39,0.0
20070102:1110,764.07,924.15,24.69,5.87,2.0,0.0
20070102:1210,813.24,1009.91,26.63,7.63,1.6,0.0
20070102:1310,794.44,985.91,25.54,8.5,1.68,0.0
20070102:1410,766.03,947.55,21.55,9.38,1.76,0.0
20070102:1510,664.29,808.73,15.15,10.25,1.83,0.0
20070102:1610,310.63,363.81,6.91,8.39,1.99,0.0
20070102:1710,0.0,0.0,0.0,6.52,2.14,0.0
20070102:1810,0.0,0.0,0.0,4.66,2.29,0.0
20070102:1910,0.0,0.0,0.0,3.54,2.25,0.0
20070102:2010,0.0,0.0,0.0,2.41,2.21,0.0
20070102:2110,0.0,0.0,0.0,1.29,2.17,0.0
20070102:2210,0.0,0.0,0.0,0.84,2.13,0.0
20070102:2310,0.0,0.0,0.0,0.39,2.1,0.0
20070103:0010,0.0,0.0,0.0,-0.06,2.07,0.0
20070103:0110,0.0,0.0,0.0,-0.27,2.0,0.0
20070103:0210,0.0,0.0,0.0,-0.47,1.94,0.0
20070103:0310,0.0,0.0,0.0,-0.68,1.88,0.0
20070103:0410,0.0,0.0,0.0,-1.08,1.86,0.0
20070103:0510,0.0,0.0,0.0,-1.48,1.85,0.0
20070103:0610,0.0,0.0,0.0,-1.87,1.83,0.0
20070103:0710,0.0,0.0,0.0,-0.9,1.76,0.0
20070103:0810,239.54,272.63,4.33,0.07,1.68,0.0
20070103:0910,668.65,778.45,13.01,1.04,1.6,0.0
20070103:1010,750.47,907.88,20.01,4.03,1.25,0.0
20070103:1110,770.43,960.73,24.76,7.02,0.89,0.0
20070103:1210,767.88,983.65,26.72,10.02,0.54,0.0
20070103:1310,662.59,829.05,25.65,10.77,0.72,0.0
20070103:1410,536.54,656.6,21.67,11.51,0.9,0.0
20070103:1510,658.19,820.1,15.28,12.26,1.08,0.0
20070103:1610,265.91,318.15,7.04,11.13,1.35,0.0
20070103:1710,0.0,0.0,0.0,10.01,1.62,0.0
20070103:1810,0.0,0.0,0.0,8.88,1.89,0.0
20070103:1910,0.0,0.0,0.0,7.75,1.86,0.0
20070103:2010,0.0,0.0,0.0,6.62,1.83,0.0
20070103:2110,0.0,0.0,0.0,5.49,1.79,0.0
20070103:2210,0.0,0.0,0.0,4.71,1.87,0.0
20070103:2310,0.0,0.0,0.0,3.93,1.95,0.0
20070104:0010,0.0,0.0,0.0,3.15,2.03,0.0
20070104:0110,0.0,0.0,0.0,2.34,2.11,0.0
20070104:0210,0.0,0.0,0.0,1.54,2.18,0.0
20070104:0310,0.0,0.0,0.0,0.73,2.26,0.0
20070104:0410,0.0,0.0,0.0,0.42,2.27,0.0
20070104:0510,0.0,0.0,0.0,0.12,2.27,0.0
20070104:0610,0.0,0.0,0.0,-0.18,2.28,0.0
20070104:0710,0.0,0.0,0.0,0.37,1.97,0.0
20070104:0810,203.14,234.55,4.34,0.92,1.67,0.0
20070104:0910,705.63,831.14,13.03,1.47,1.37,0.0
20070104:1010,767.99,925.05,20.06,4.26,1.68,0.0
20070104:1110,823.75,1012.64,24.83,7.06,2.0,0.0
20070104:1210,849.52,1059.44,26.82,9.86,2.32,0.0
20070104:1310,824.45,1023.54,25.77,10.43,2.5,0.0
20070104:1410,786.13,968.82,21.81,11.0,2.69,0.0
20070104:1510,684.89,830.2,15.42,11.57,2.87,0.0
