Latitude (decimal degrees):	19.920
Longitude (decimal degrees):	4.764
Elevation (m):	462
Radiation database:	PVGIS-SARAH


Slope: 47 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20070101:0008,0.0,0.0,0.0,13.84,6.57,0.0
20070101:0108,0.0,0.0,0.0,13.03,6.57,0.0
20070101:0208,0.0,0.0,0.0,12.23,6.57,0.0
20070101:0308,0.0,0.0,0.0,11.43,6.57,0.0
20070101:0408,0.0,0.0,0.0,10.84,6.56,0.0
20070101:0508,0.0,0.0,0.0,10.25,6.55,0.0
20070101:0608,0.0,0.0,0.0,9.67,6.54,0.0
20070101:0708,416.6,483.09,10.18,10.95,6.9,0.0
20070101:0808,671.47,791.45,22.04,12.24,7.26,0.0
20070101:0908,796.07,954.56,32.63,13.52,7.63,0.0
20070101:1008,834.65,1014.51,41.09,15.21,7.7,0.0
20070101:1108,897.72,1107.04,46.18,16.89,7.77,0.0
20070101:1208,913.5,1137.19,46.68,18.58,7.85,0.0
20070101:1308,889.89,1110.92,42.44,19.25,7.56,0.0
20070101:1408,809.33,1006.63,34.55,19.92,7.27,0.0
20070101:1508,708.98,875.75,24.31,20.59,6.98,0.0
20070101:1608,489.11,592.11,12.65,19.5,6.39,0.0
20070101:1708,0.0,0.0,0.14,18.41,5.8,0.0
20070101:1808,0.0,0.0,0.0,17.32,5.21,0.0
20070101:1908,0.0,0.0,0.0,16.5,5.56,0.0
20070101:2008,0.0,0.0,0.0,15.68,5.91,0.0
20070101:2108,0.0,0.0,0.0,14.86,6.26,0.0
20070101:2208,0.0,0.0,0.0,14.3,6.37,0.0
20070101:2308,0.0,0.0,0.0,13.75,6.48,0.0
20070102:0008,0.0,0.0,0.0,13.2,6.59,0.0
20070102:0108,0.0,0.0,0.0,12.59,6.41,0.0
20070102:0208,0.0,0.0,0.0,11.98,6.23,0.0
20070102:0308,0.0,0.0,0.0,11.37,6.04,0.0
20070102:0408,0.0,0.0,0.0,10.75,6.04,0.0
20070102:0508,0.0,0.0,0.0,10.13,6.04,0.0
20070102:0608,0.0,0.0,0.0,9.51,6.04,0.0
20070102:0708,438.66,508.96,10.13,10.77,6.3,0.0
20070102:0808,711.5,843.34,22.01,12.04,6.57,0.0
20070102:0908,840.99,1016.31,32.62,13.3,6.83,0.0
20070102:1008,875.06,1074.04,41.12,15.06,6.69,0.0
20070102:1108,890.83,1107.37,46.24,16.82,6.55,0.0
20070102:1208,894.32,1123.74,46.78,18.58,6.41,0.0
20070102:1308,863.52,1087.41,42.56,19.11,6.03,0.0
20070102:1408,808.1,1015.86,34.68,19.64,5.65,0.0
20070102:1508,786.69,989.25,24.44,20.17,5.27,0.0
20070102:1608,386.14,469.35,12.78,19.05,4.84,0.0
20070102:1708,0.0,0.0,0.27,17.92,4.41,0.0
20070102:1808,0.0,0.0,0.0,16.8,3.99,0.0
20070102:1908,0.0,0.0,0.0,15.8,4.26,0.0
20070102:2008,0.0,0.0,0.0,14.81,4.53,0.0
20070102:2108,0.0,0.0,0.0,13.82,4.8,0.0
20070102:2208,0.0,0.0,0.0,13.19,4.98,0.0
20070102:2308,0.0,0.0,0.0,12.57,5.16,0.0
20070103:0008,0.0,0.0,0.0,11.95,5.34,0.0
20070103:0108,0.0,0.0,0.0,11.21,5.29,0.0
20070103:0208,0.0,0.0,0.0,10.47,5.24,0.0
20070103:0308,0.0,0.0,0.0,9.73,5.19,0.0
20070103:0408,0.0,0.0,0.0,9.1,5.17,0.0
20070103:0508,0.0,0.0,0.0,8.46,5.16,0.0
20070103:0608,0.0,0.0,0.0,7.83,5.14,0.0
20070103:0708,448.45,518.85,10.08,9.34,5.26,0.0
20070103:0808,695.71,824.97,21.98,10.86,5.37,0.0
20070103:0908,823.59,999.29,32.61,12.37,5.48,0.0
20070103:1008,857.22,1056.38,41.14,14.36,5.55,0.0
20070103:1108,879.92,1098.78,46.31,16.35,5.62,0.0
20070103:1208,879.0,1108.54,46.88,18.34,5.7,0.0
20070103:1308,819.54,1030.42,42.69,18.94,5.59,0.0
20070103:1408,801.83,1008.28,34.82,19.55,5.49,0.0
20070103:1508,694.01,863.45,24.58,20.15,5.38,0.0
20070103:1608,498.71,606.43,12.92,18.95,4.98,0.0
20070103:1708,0.0,0.0,0.39,17.74,4.59,0.0
20070103:1808,0.0,0.0,0.0,16.54,4.19,0.0
20070103:1908,0.0,0.0,0.0,15.46,4.42,0.0
20070103:2008,0.0,0.0,0.0,14.39,4.64,0.0
20070103:2108,0.0,0.0,0.0,13.32,4.87,0.0
20070103:2208,0.0,0.0,0.0,12.72,5.15,0.0
20070103:2308,0.0,0.0,0.0,12.12,5.44,0.0
20070104:0008,0.0,0.0,0.0,11.53,5.72,0.0
20070104:0108,0.0,0.0,0.0,10.97,5.89,0.0
20070104:0208,0.0,0.0,0.0,10.41,6.05,0.0
20070104:0308,0.0,0.0,0.0,9.85,6.21,0.0
20070104:0408,0.0,0.0,0.0,9.47,6.55,0.0
20070104:0508,0.0,0.0,0.0,9.09,6.9,0.0
20070104:0608,0.0,0.0,0.0,8.72,7.24,0.0
20070104:0708,444.39,511.32,10.03,10.04,7.88,0.0
20070104:0808,705.15,824.57,21.95,11.36,8.52,0.0
20070104:0908,840.8,999.28,32.61,12.68,9.16,0.0
20070104:1008,891.11,1073.06,41.18,14.3,9.32,0.0
20070104:1108,916.6,1115.0,46.39,15.92,9.49,0.0
20070104:1208,933.49,1145.18,47.0,17.54,9.66,0.0
20070104:1308,891.96,1096.56,42.83,18.37,9.37,0.0
20070104:1408,802.33,983.56,34.96,19.19,9.09,0.0
20070104:1508,681.07,829.79,24.72,20.02,8.81,0.0
20070104:1608,456.09,547.49,13.05,18.97,8.07,0.0
20070104:1708,0.0,0.0,0.53,17.91,7.32,0.0
20070104:1808,0.0,0.0,0.0,16.86,6.58,0.0
20070104:1908,0.0,0.0,0.0,16.16,6.95,0.0
20070104:2008,0.0,0.0,0.0,15.47,7.32,0.0
20070104:2108,0.0,0.0,0.0,14.78,7.7,0.0
20070104:2208,0.0,0.0,0.0,14.32,7.84,0.0
20070104:2308,0.0,0.0,0.0,13.86,7.98,0.0
20070105:0008,0.0,0.0,0.0,13.41,8.12,0.0
20070105:0108,0.0,0.0,0.0,13.03,8.09,0.0
20070105:0208,0.0,0.0,0.0,12.65,8.06,0.0
20070105:0308,0.0,0.0,0.0,12.27,8.03,0.0
20070105:0408,0.0,0.0,0.0,11.86,8.06,0.0
20070105:0508,0.0,0.0,0.0,11.45,8.08,0.0
20070105:0608,0.0,0.0,0.0,11.04,8.11,0.0
20070105:0708,552.89,641.19,9.99,11.93,8.4,0.0
20070105:0808,756.51,893.22,21.93,12.83,8.7,0.0
20070105:0908,856.27,1024.96,32.62,13.72,8.99,0.0
20070105:1008,962.87,1174.53,41.22,15.21,8.74,0.0
20070105:1108,947.28,1166.08,46.47,16.7,8.48,0.0
20070105:1208,923.65,1145.72,47.12,18.2,8.22,0.0
20070105:1308,928.07,1157.3,42.97,18.8,7.84,0.0
20070105:1408,882.8,1100.93,35.1,19.4,7.46,0.0
20070105:1508,787.66,976.13,24.86,20.0,7.08,0.0
20070105:1608,602.03,731.45,13.19,19.22,6.5,0.0
20070105:1708,0.0,0.0,0.66,18.44,5.93,0.0
20070105:1808,0.0,0.0,0.0,17.66,5.35,0.0
20070105:1908,0.0,0.0,0.0,17.08,5.69,0.0
20070105:2008,0.0,0.0,0.0,16.5,6.03,0.0
20070105:2108,0.0,0.0,0.0,15.93,6.37,0.0
20070105:2208,0.0,0.0,0.0,15.35,6.47,0.0
20070105:2308,0.0,0.0,0.0,14.77,6.57,0.0
20070106:0008,0.0,0.0,0.0,14.19,6.68,0.0
20070106:0108,0.0,0.0,0.0,13.73,6.67,0.0
20070106:0208,0.0,0.0,0.0,13.28,6.66,0.0
20070106:0308,0.0,0.0,0.0,12.83,6.65,0.0
20070106:0408,0.0,0.0,0.0,12.59,6.63,0.0
20070106:0508,0.0,0.0,0.0,12.34,6.6,0.0
20070106:0608,0.0,0.0,0.0,12.1,6.58,0.0
20070106:0708,446.79,522.67,9.96,12.96,6.86,0.0
20070106:0808,468.39,552.58,21.92,13.83,7.14,0.0
20070106:0908,379.1,452.69,32.63,14.69,7.42,0.0
20070106:1008,709.74,861.65,41.27,16.39,7.27,0.0
20070106:1108,954.41,1195.41,46.56,18.09,7.12,0.0
20070106:1208,945.67,1195.65,47.24,19.79,6.97,0.0
20070106:1308,929.45,1181.03,43.12,20.5,6.58,0.0
20070106:1408,885.99,1127.04,35.26,21.22,6.2,0.0
20070106:1508,788.99,997.09,25.01,21.93,5.82,0.0
20070106:1608,596.2,735.02,13.33,21.05,5.46,0.0
20070106:1708,0.0,0.0,0.79,20.16,5.1,0.0
20070106:1808,0.0,0.0,0.0,19.28,4.74,0.0
20070106:1908,0.0,0.0,0.0,18.53,5.03,0.0
20070106:2008,0.0,0.0,0.0,17.79,5.32,0.0
20070106:2108,0.0,0.0,0.0,17.05,5.61,0.0
20070106:2208,0.0,0.0,0.0,16.41,5.69,0.0
20070106:2308,0.0,0.0,0.0,15.77,5.76,0.0
20070107:0008,0.0,0.0,0.0,15.13,5.83,0.0
20070107:0108,0.0,0.0,0.0,14.62,5.7,0.0
20070107:0208,0.0,0.0,0.0,14.11,5.57,0.0
20070107:0308,0.0,0.0,0.0,13.6,5.43,0.0
20070107:0408,0.0,0.0,0.0,13.05,5.46,0.0
20070107:0508,0.0,0.0,0.0,12.5,5.49,0.0
20070107:0608,0.0,0.0,0.0,11.95,5.52,0.0
20070107:0708,540.94,636.98,9.93,13.1,5.83,0.0
20070107:0808,786.83,951.83,21.91,14.26,6.15,0.0
20070107:0908,898.35,1106.4,32.65,15.42,6.47,0.0
20070107:1008,920.42,1150.52,41.32,17.31,6.4,0.0
20070107:1108,943.12,1194.89,46.66,19.19,6.34,0.0
20070107:1208,934.5,1195.72,47.38,21.08,6.28,0.0
20070107:1308,919.82,1182.15,43.27,22.01,6.13,0.0
20070107:1408,877.97,1128.55,35.41,22.95,5.99,0.0
20070107:1508,783.35,999.5,25.16,23.88,5.85,0.0
20070107:1608,593.83,738.78,13.48,22.66,5.31,0.0
20070107:1708,0.0,0.0,0.93,21.43,4.77,0.0
20070107:1808,0.0,0.0,0.0,20.21,4.23,0.0
20070107:1908,0.0,0.0,0.0,19.26,4.6,0.0
20070107:2008,0.0,0.0,0.0,18.31,4.96,0.0
20070107:2108,0.0,0.0,0.0,17.36,5.32,0.0
20070107:2208,0.0,0.0,0.0,16.77,5.47,0.0
20070107:2308,0.0,0.0,0.0,16.19,5.61,0.0
20070108:0008,0.0,0.0,0.0,15.61,5.75,0.0
20070108:0108,0.0,0.0,0.0,14.78,5.72,0.0
20070108:0208,0.0,0.0,0.0,13.96,5.7,0.0
20070108:0308,0.0,0.0,0.0,13.14,5.67,0.0
20070108:0408,0.0,0.0,0.0,12.54,5.63,0.0
20070108:0508,0.0,0.0,0.0,11.94,5.6,0.0
20070108:0608,0.0,0.0,0.0,11.34,5.56,0.0
20070108:0708,514.72,605.18,9.9,12.8,5.66,0.0
20070108:0808,711.06,856.63,21.9,14.26,5.75,0.0
20070108:0908,874.15,1081.52,32.67,15.72,5.85,0.0
20070108:1008,897.02,1128.57,41.38,17.85,5.76,0.0
20070108:1108,913.11,1165.98,46.76,19.98,5.67,0.0
20070108:1208,903.45,1166.81,47.52,22.11,5.59,0.0
20070108:1308,879.45,1137.35,43.43,23.11,5.68,0.0
20070108:1408,837.97,1081.61,35.57,24.12,5.77,0.0
20070108:1508,737.59,942.79,25.32,25.12,5.86,0.0
20070108:1608,551.14,686.94,13.62,23.75,5.41,0.0
20070108:1708,0.0,0.0,1.07,22.37,4.96,0.0
20070108:1808,0.0,0.0,0.0,21.0,4.51,0.0
20070108:1908,0.0,0.0,0.0,19.94,4.84,0.0
20070108:2008,0.0,0.0,0.0,18.88,5.16,0.0
20070108:2108,0.0,0.0,0.0,17.83,5.49,0.0
20070108:2208,0.0,0.0,0.0,17.23,5.69,0.0
20070108:2308,0.0,0.0,0.0,16.64,5.89,0.0
20070109:0008,0.0,0.0,0.0,16.05,6.08,0.0
20070109:0108,0.0,0.0,0.0,15.38,5.99,0.0
20070109:0208,0.0,0.0,0.0,14.71,5.9,0.0
20070109:0308,0.0,0.0,0.0,14.04,5.81,0.0
20070109:0408,0.0,0.0,0.0,13.38,5.8,0.0
20070109:0508,0.0,0.0,0.0,12.72,5.8,0.0
20070109:0608,0.0,0.0,0.0,12.06,5.79,0.0
20070109:0708,494.81,582.07,9.88,13.43,6.06,0.0
20070109:0808,739.02,891.47,21.9,14.8,6.34,0.0
20070109:0908,853.5,1049.77,32.7,16.17,6.61,0.0
20070109:1008,879.84,1099.23,41.45,18.24,6.61,0.0
20070109:1108,908.57,1151.69,46.88,20.31,6.61,0.0
20070109:1208,905.32,1160.01,47.67,22.39,6.61,0.0
20070109:1308,880.82,1131.03,43.6,23.31,6.59,0.0
20070109:1408,843.99,1083.2,35.74,24.22,6.57,0.0
20070109:1508,711.52,902.82,25.47,25.14,6.55,0.0
20070109:1608,245.5,309.34,13.77,23.84,6.12,0.0
20070109:1708,0.0,0.0,1.21,22.54,5.69,0.0
20070109:1808,0.0,0.0,0.0,21.24,5.26,0.0
20070109:1908,0.0,0.0,0.0,20.27,5.62,0.0
20070109:2008,0.0,0.0,0.0,19.3,5.99,0.0
20070109:2108,0.0,0.0,0.0,18.34,6.36,0.0
20070109:2208,0.0,0.0,0.0,17.6,6.46,0.0
20070109:2308,0.0,0.0,0.0,16.86,6.57,0.0
20070110:0008,0.0,0.0,0.0,16.13,6.68,0.0
20070110:0108,0.0,0.0,0.0,15.35,6.61,0.0
20070110:0208,0.0,0.0,0.0,14.58,6.54,0.0
20070110:0308,0.0,0.0,0.0,13.81,6.47,0.0
20070110:0408,0.0,0.0,0.0,13.07,6.52,0.0
20070110:0508,0.0,0.0,0.0,12.34,6.57,0.0
20070110:0608,0.0,0.0,0.0,11.61,6.62,0.0
20070110:0708,449.73,525.53,9.86,12.77,6.91,0.0
20070110:0808,704.23,839.13,21.9,13.94,7.21,0.0
20070110:0908,830.29,1007.21,32.74,15.11,7.5,0.0
20070110:1008,859.94,1058.49,41.53,17.02,7.53,0.0
20070110:1108,882.81,1100.56,47.0,18.93,7.56,0.0
20070110:1208,887.06,1117.16,47.83,20.85,7.59,0.0
20070110:1308,859.53,1085.23,43.77,21.79,7.49,0.0
20070110:1408,801.33,1010.19,35.91,22.74,7.4,0.0
20070110:1508,695.68,870.89,25.64,23.68,7.31,0.0
20070110:1608,490.15,601.02,13.92,22.42,6.87,0.0
20070110:1708,0.0,0.0,1.35,21.15,6.44,0.0
20070110:1808,0.0,0.0,0.0,19.89,6.0,0.0
20070110:1908,0.0,0.0,0.0,18.98,6.4,0.0
20070110:2008,0.0,0.0,0.0,18.07,6.81,0.0
20070110:2108,0.0,0.0,0.0,17.16,7.21,0.0
20070110:2208,0.0,0.0,0.0,16.43,7.35,0.0
20070110:2308,0.0,0.0,0.0,15.71,7.48,0.0
20070111:0008,0.0,0.0,0.0,14.99,7.61,0.0
20070111:0108,0.0,0.0,0.0,14.33,7.67,0.0
20070111:0208,0.0,0.0,0.0,13.68,7.72,0.0
20070111:0308,0.0,0.0,0.0,13.02,7.78,0.0
20070111:0408,0.0,0.0,0.0,12.55,7.87,0.0
20070111:0508,0.0,0.0,0.0,12.08,7.95,0.0
20070111:0608,0.0,0.0,0.0,11.61,8.04,0.0
20070111:0708,450.37,523.99,9.84,12.82,8.46,0.0
20070111:0808,708.91,838.82,21.91,14.04,8.88,0.0
20070111:0908,870.66,1049.84,32.78,15.26,9.3,0.0
20070111:1008,781.35,945.25,41.61,16.88,9.53,0.0
20070111:1108,919.14,1131.52,47.12,18.5,9.77,0.0
20070111:1208,893.78,1105.88,47.99,20.13,10.0,0.0
20070111:1308,707.86,869.85,43.94,20.99,9.81,0.0
20070111:1408,795.13,985.49,36.08,21.86,9.61,0.0
20070111:1508,686.46,846.25,25.8,22.72,9.42,0.0
20070111:1608,518.84,630.65,14.07,21.69,8.58,0.0
20070111:1708,0.0,0.0,1.49,20.65,7.74,0.0
20070111:1808,0.0,0.0,0.0,19.62,6.9,0.0
20070111:1908,0.0,0.0,0.0,18.83,7.05,0.0
20070111:2008,0.0,0.0,0.0,18.05,7.2,0.0
20070111:2108,0.0,0.0,0.0,17.27,7.35,0.0
20070111:2208,0.0,0.0,0.0,16.6,7.21,0.0
20070111:2308,0.0,0.0,0.0,15.93,7.07,0.0
20070112:0008,0.0,0.0,0.0,15.26,6.92,0.0
20070112:0108,0.0,0.0,0.0,14.91,7.02,0.0
20070112:0208,0.0,0.0,0.0,14.56,7.11,0.0
20070112:0308,0.0,0.0,0.0,14.22,7.2,0.0
20070112:0408,0.0,0.0,0.0,13.66,7.55,0.0
20070112:0508,0.0,0.0,0.0,13.1,7.9,0.0
20070112:0608,0.0,0.0,0.0,12.55,8.25,0.0
20070112:0708,429.32,500.82,9.84,13.4,8.72,0.0
20070112:0808,703.39,831.88,21.93,14.25,9.19,0.0
20070112:0908,812.86,973.78,32.82,15.1,9.66,0.0
20070112:1008,865.49,1049.8,41.7,16.44,9.7,0.0
20070112:1108,904.9,1108.97,47.26,17.77,9.74,0.0
20070112:1208,883.07,1087.93,48.16,19.11,9.78,0.0
20070112:1308,872.68,1078.03,44.13,19.7,9.54,0.0
20070112:1408,807.95,995.72,36.26,20.29,9.31,0.0
20070112:1508,693.4,848.53,25.97,20.88,9.08,0.0
20070112:1608,498.52,601.16,14.23,19.93,8.3,0.0
20070112:1708,0.0,0.0,1.63,18.97,7.52,0.0
20070112:1808,0.0,0.0,0.0,18.02,6.74,0.0
20070112:1908,0.0,0.0,0.0,17.27,6.8,0.0
20070112:2008,0.0,0.0,0.0,16.52,6.86,0.0
20070112:2108,0.0,0.0,0.0,15.78,6.92,0.0
20070112:2208,0.0,0.0,0.0,15.08,6.67,0.0
20070112:2308,0.0,0.0,0.0,14.38,6.42,0.0
20070113:0008,0.0,0.0,0.0,13.69,6.17,0.0
20070113:0108,0.0,0.0,0.0,13.11,6.0,0.0
20070113:0208,0.0,0.0,0.0,12.53,5.83,0.0
20070113:0308,0.0,0.0,0.0,11.96,5.67,0.0
20070113:0408,0.0,0.0,0.0,11.43,5.92,0.0
20070113:0508,0.0,0.0,0.0,10.9,6.17,0.0
20070113:0608,0.0,0.0,0.0,10.38,6.41,0.0
20070113:0708,461.76,536.78,9.83,11.66,6.91,0.0
20070113:0808,723.3,857.94,21.95,12.95,7.4,0.0
20070113:0908,868.57,1049.77,32.88,14.23,7.89,0.0
20070113:1008,893.66,1092.0,41.79,15.65,8.01,0.0
20070113:1108,943.91,1166.46,47.4,17.07,8.13,0.0
20070113:1208,912.74,1132.94,48.33,18.5,8.25,0.0
20070113:1308,884.94,1102.63,44.31,19.13,7.72,0.0
20070113:1408,814.59,1013.65,36.44,19.75,7.2,0.0
20070113:1508,701.94,867.71,26.14,20.38,6.68,0.0
20070113:1608,460.68,558.33,14.39,19.41,6.04,0.0
20070113:1708,0.0,0.0,1.77,18.43,5.4,0.0
20070113:1808,0.0,0.0,0.0,17.46,4.76,0.0
20070113:1908,0.0,0.0,0.0,16.65,5.15,0.0
20070113:2008,0.0,0.0,0.0,15.84,5.55,0.0
20070113:2108,0.0,0.0,0.0,15.03,5.94,0.0
20070113:2208,0.0,0.0,0.0,14.6,6.18,0.0
20070113:2308,0.0,0.0,0.0,14.17,6.42,0.0
20070114:0008,0.0,0.0,0.0,13.74,6.66,0.0
20070114:0108,0.0,0.0,0.0,13.2,6.58,0.0
20070114:0208,0.0,0.0,0.0,12.66,6.51,0.0
20070114:0308,0.0,0.0,0.0,12.12,6.43,0.0
20070114:0408,0.0,0.0,0.0,11.65,6.43,0.0
20070114:0508,0.0,0.0,0.0,11.18,6.43,0.0
20070114:0608,0.0,0.0,0.0,10.72,6.43,0.0
20070114:0708,471.97,550.2,9.83,12.15,6.74,0.0
20070114:0808,726.43,866.2,21.97,13.59,7.06,0.0
20070114:0908,856.72,1042.06,32.94,15.03,7.38,0.0
20070114:1008,887.76,1091.59,41.89,16.65,7.76,0.0
20070114:1108,923.18,1146.15,47.54,18.27,8.14,0.0
20070114:1208,923.95,1154.03,48.52,19.9,8.52,0.0
20070114:1308,902.51,1133.85,44.51,20.63,7.88,0.0
20070114:1408,847.76,1066.92,36.63,21.35,7.23,0.0
20070114:1508,744.65,932.8,26.31,22.08,6.58,0.0
20070114:1608,554.52,680.07,14.54,20.98,5.93,0.0
20070114:1708,0.0,0.0,1.92,19.87,5.28,0.0
20070114:1808,0.0,0.0,0.0,18.77,4.63,0.0
20070114:1908,0.0,0.0,0.0,17.89,5.11,0.0
20070114:2008,0.0,0.0,0.0,17.01,5.58,0.0
20070114:2108,0.0,0.0,0.0,16.13,6.06,0.0
20070114:2208,0.0,0.0,0.0,15.7,6.34,0.0
20070114:2308,0.0,0.0,0.0,15.27,6.63,0.0
20070115:0008,0.0,0.0,0.0,14.84,6.92,0.0
20070115:0108,0.0,0.0,0.0,14.42,6.94,0.0
20070115:0208,0.0,0.0,0.0,14.0,6.96,0.0
20070115:0308,0.0,0.0,0.0,13.58,6.98,0.0
20070115:0408,0.0,0.0,0.0,13.16,6.94,0.0
20070115:0508,0.0,0.0,0.0,12.74,6.91,0.0
20070115:0608,0.0,0.0,0.0,12.32,6.87,0.0
20070115:0708,382.13,447.95,9.84,13.29,7.36,0.0
20070115:0808,569.05,672.13,22.0,14.26,7.84,0.0
20070115:0908,855.56,1035.67,33.0,15.23,8.33,0.0
20070115:1008,891.29,1092.68,42.0,16.66,8.28,0.0
20070115:1108,919.31,1139.18,47.7,18.08,8.24,0.0
20070115:1208,924.18,1154.51,48.7,19.51,8.19,0.0
20070115:1308,892.59,1119.55,44.71,20.33,7.77,0.0
20070115:1408,837.56,1051.09,36.82,21.16,7.36,0.0
20070115:1508,741.66,926.23,26.48,21.98,6.94,0.0
20070115:1608,533.24,652.0,14.7,20.99,6.34,0.0
20070115:1708,0.0,0.0,2.06,19.99,5.73,0.0
20070115:1808,0.0,0.0,0.0,19.0,5.13,0.0
20070115:1908,0.0,0.0,0.0,18.11,5.51,0.0
20070115:2008,0.0,0.0,0.0,17.23,5.89,0.0
20070115:2108,0.0,0.0,0.0,16.35,6.26,0.0
20070115:2208,0.0,0.0,0.0,15.71,6.33,0.0
20070115:2308,0.0,0.0,0.0,15.08,6.39,0.0
20070116:0008,0.0,0.0,0.0,14.45,6.46,0.0
20070116:0108,0.0,0.0,0.0,13.89,6.33,0.0
20070116:0208,0.0,0.0,0.0,13.34,6.21,0.0
20070116:0308,0.0,0.0,0.0,12.79,6.08,0.0
20070116:0408,0.0,0.0,0.0,12.16,6.06,0.0
20070116:0508,0.0,0.0,0.0,11.53,6.04,0.0
20070116:0608,0.0,0.0,0.0,10.91,6.01,0.0
20070116:0708,335.01,393.25,9.84,12.15,6.27,0.0
20070116:0808,711.07,848.74,22.04,13.4,6.52,0.0
20070116:0908,837.28,1018.99,33.07,14.65,6.77,0.0
20070116:1008,877.95,1085.18,42.11,16.44,6.76,0.0
20070116:1108,898.97,1125.03,47.86,18.23,6.74,0.0
20070116:1208,912.97,1154.99,48.9,20.03,6.73,0.0
20070116:1308,866.26,1096.98,44.91,20.69,6.44,0.0
20070116:1408,812.08,1026.88,37.01,21.36,6.15,0.0
20070116:1508,712.91,894.72,26.66,22.02,5.86,0.0
20070116:1608,628.0,777.21,14.86,20.96,5.3,0.0
20070116:1708,0.0,0.0,2.21,19.9,4.73,0.0
20070116:1808,0.0,0.0,0.0,18.84,4.17,0.0
20070116:1908,0.0,0.0,0.0,17.86,4.5,0.0
20070116:2008,0.0,0.0,0.0,16.88,4.83,0.0
20070116:2108,0.0,0.0,0.0,15.91,5.16,0.0
20070116:2208,0.0,0.0,0.0,15.37,5.48,0.0
20070116:2308,0.0,0.0,0.0,14.83,5.79,0.0
20070117:0008,0.0,0.0,0.0,14.3,6.11,0.0
20070117:0108,0.0,0.0,0.0,13.74,6.06,0.0
20070117:0208,0.0,0.0,0.0,13.19,6.02,0.0
20070117:0308,0.0,0.0,0.0,12.64,5.97,0.0
20070117:0408,0.0,0.0,0.0,12.03,5.92,0.0
20070117:0508,0.0,0.0,0.0,11.42,5.86,0.0
20070117:0608,0.0,0.0,0.0,10.81,5.81,0.0
20070117:0708,439.45,513.55,9.86,12.11,5.99,0.0
20070117:0808,717.07,858.35,22.08,13.42,6.17,0.0
20070117:0908,847.47,1036.1,33.14,14.73,6.34,0.0
20070117:1008,875.19,1086.05,42.23,16.6,6.34,0.0
20070117:1108,894.91,1124.79,48.02,18.47,6.33,0.0
20070117:1208,888.43,1127.3,49.1,20.34,6.32,0.0
20070117:1308,899.84,1149.71,45.12,21.08,6.04,0.0
20070117:1408,862.14,1102.57,37.21,21.81,5.76,0.0
20070117:1508,664.21,834.37,26.84,22.55,5.48,0.0
20070117:1608,372.43,458.28,15.02,21.48,5.04,0.0
20070117:1708,6.92,18.62,2.36,20.41,4.61,0.0
