Latitude (decimal degrees):	58.255
Longitude (decimal degrees):	-4.597
Elevation (m):	333
Radiation database:	PVGIS-SARAH


Slope: 44 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20070101:0011,0.0,0.0,0.0,3.57,9.66,0.0
20070101:0111,0.0,0.0,0.0,3.08,9.66,0.0
20070101:0211,0.0,0.0,0.0,2.6,9.66,0.0
20070101:0311,0.0,0.0,0.0,2.11,9.66,0.0
20070101:0411,0.0,0.0,0.0,1.84,9.69,0.0
20070101:0511,0.0,0.0,0.0,1.57,9.72,0.0
20070101:0611,0.0,0.0,0.0,1.3,9.75,0.0
20070101:0711,0.0,0.0,0.0,1.38,9.59,0.0
20070101:0811,0.0,0.0,0.0,1.47,9.43,0.0
20070101:0911,0.0,0.0,0.0,1.55,9.27,0.0
20070101:1011,8.95,21.07,4.33,1.89,8.92,0.0
20070101:1111,18.49,34.03,7.42,2.22,8.58,0.0
20070101:1211,18.46,34.03,8.71,2.55,8.23,0.0
20070101:1311,4.18,13.77,8.08,2.17,8.35,0.0
20070101:1411,0.0,4.86,5.6,1.79,8.47,0.0
20070101:1511,0.0,0.0,1.45,1.42,8.59,0.0
20070101:1611,0.0,0.0,0.0,1.53,8.35,0.0
20070101:1711,0.0,0.0,0.0,1.64,8.11,0.0
20070101:1811,0.0,0.0,0.0,1.75,7.86,0.0
20070101:1911,0.0,0.0,0.0,1.84,7.61,0.0
20070101:2011,0.0,0.0,0.0,1.93,7.37,0.0
20070101:2111,0.0,0.0,0.0,2.02,7.12,0.0
20070101:2211,0.0,0.0,0.0,1.97,6.86,0.0
20070101:2311,0.0,0.0,0.0,1.92,6.59,0.0
20070102:0011,0.0,0.0,0.0,1.87,6.33,0.0
20070102:0111,0.0,0.0,0.0,2.25,6.42,0.0
20070102:0211,0.0,0.0,0.0,2.63,6.51,0.0
20070102:0311,0.0,0.0,0.0,3.01,6.59,0.0
20070102:0411,0.0,0.0,0.0,2.96,6.08,0.0
20070102:0511,0.0,0.0,0.0,2.91,5.56,0.0
20070102:0611,0.0,0.0,0.0,2.86,5.05,0.0
20070102:0711,0.0,0.0,0.0,2.74,4.65,0.0
20070102:0811,0.0,0.0,0.0,2.62,4.26,0.0
20070102:0911,0.0,0.0,0.0,2.5,3.86,0.0
20070102:1011,7.78,19.44,4.38,3.03,4.07,0.0
20070102:1111,24.7,42.13,7.49,3.55,4.29,0.0
20070102:1211,26.58,44.56,8.79,4.08,4.5,0.0
20070102:1311,27.92,46.18,8.18,3.9,4.54,0.0
20070102:1411,10.54,23.5,5.71,3.72,4.59,0.0
20070102:1511,0.0,0.0,1.57,3.55,4.63,0.0
20070102:1611,0.0,0.0,0.0,3.3,4.33,0.0
20070102:1711,0.0,0.0,0.0,3.05,4.02,0.0
20070102:1811,0.0,0.0,0.0,2.81,3.71,0.0
20070102:1911,0.0,0.0,0.0,2.9,3.91,0.0
20070102:2011,0.0,0.0,0.0,2.98,4.11,0.0
20070102:2111,0.0,0.0,0.0,3.07,4.3,0.0
20070102:2211,0.0,0.0,0.0,3.12,5.21,0.0
20070102:2311,0.0,0.0,0.0,3.17,6.12,0.0
20070103:0011,0.0,0.0,0.0,3.22,7.03,0.0
20070103:0111,0.0,0.0,0.0,3.88,8.14,0.0
20070103:0211,0.0,0.0,0.0,4.55,9.25,0.0
